#000000;#F37884;#EB1E32;#ffffff
#71A4F7;#1267F2;#192945;#000000
#BE91EB;#9248DD;#322241;#000000
#F591F8;#EF47F4;#452346;#000000
#F37884;#EB1E32;#441B20;#000000
#FF946E;#FF4D0D;#482417;#000000
#FFDD58;#A38F40;#484126;#000000
#66A483;#006831;#152A20;#000000
#9A359D;#FFDD58;#F591F8;#000000
#FF946E;#FFDD58;#FF4D0D;#000000
#FF4D0D;#EB1E32;#FF946E;#000000
#F591F8;#971C28;#EB1E32;#FFFFFF
#71A4F7;#3A1C1C;#1267F2;#FFFFFF
#FF4D0D;#EB1E32;#441B20;#FFFFFF
#F591F8;#006831;#66A483;#EB1E32
#192945;#71A4F7;#EB1E32;#FFFFFF
#1267F2;#0A4928;#71A4F7;#FFFFFF
#3A1C1C;#9248DD;#BE91EB;#FFFFFF
#3A1C1C;#FFEB9B;#9248DD;#EB1E32